,playlist_name,track.id,track.name
69,Sweet Soul Chillout,0wtHjEAzLYYyGuk2WtpGwS,Easy
75,Sweet Soul Chillout,111BQRr9rRMHTn69KamC4Z,For Once In My Life
76,Sweet Soul Chillout,3jOwA8XZplvTVsV0SdLWhc,Rhythm Of Life
80,Sweet Soul Chillout,55bvjj1m7GbJwABrsBRx3D,Just The Way You Are
83,Sweet Soul Chillout,0IUTOvJZ6brXtvMZWipush,What's Going On
85,Sweet Soul Chillout,6RdPQL64TSTPHZKYnpxAhT,As
89,Sweet Soul Chillout,7KsXSnQc8qdeBSOnTM5Vvn,On My Own
90,Sweet Soul Chillout,00bOhb4584JjyfTiXX81mO,The Weight
92,Sweet Soul Chillout,3hk1TZ66bpq75noaB9Fojf,Take My Heart (You Can Have It If You Want It)
96,Sweet Soul Chillout,20oUeycXhRS3iNp0Hl32hh,New York Eyes
97,Sweet Soul Chillout,5mpljnlp36HDNEeSszaVha,Love's Theme - Alternate Version
99,Sweet Soul Chillout,7u9s9Kn0J9U69J0qQV3E5M,Ain't No Sunshine
100,Sweet Soul Chillout,4sj8qFcEDnRPNv3tBbUVUf,Me and Mrs. Jones
101,Sweet Soul Chillout,0c3Xqt6MesEzKVGdoKandP,After The Love Has Gone
103,Sweet Soul Chillout,1euSJSk3dqCRmfdVwczmsR,Wish I Didn't Miss You
104,Sweet Soul Chillout,0Ay7pwWStfH00fpQlEaLFM,Overdose of Joy
105,Sweet Soul Chillout,0qOkHfSClduvkvGk6fCu8l,Now That We Found Love
109,Sweet Soul Chillout,0kgnNHZH8pY7TXYS7xtCBk,Move Me No Mountain
111,Sweet Soul Chillout,7l5S791OPaOUQPWnQcN4AS,Love Never Felt so Good
114,Sweet Soul Chillout,3oVXnhQusiMpvngzok4UjJ,Lead Me On
120,Sweet Soul Chillout,3YcusdF0VAb25wLvmvJDJ6,Fantasy - Single Version
121,Sweet Soul Chillout,3unVxPRMPloyBO70zQTksn,Love X Love
125,Sweet Soul Chillout,1cdRKJlpHp273rwdqMRLOr,"Shame, Shame, Shame"
126,Sweet Soul Chillout,5qyq1H5OPMlfuvZQ1wQNo7,(Your Love Keeps Lifting Me) Higher & Higher
127,Sweet Soul Chillout,5Pprsotl6k3oUhrcEfqiIl,Don't Look Any Further - Single Version
128,Sweet Soul Chillout,367QlcjzPGFxF4uNbBvwEH,Yah Mo B There
134,Uplifting Soul Classics,7MF7QAodbGzNYav5ZfIhAY,Midnight Train to Georgia
138,Uplifting Soul Classics,3Qe0dJkQXx7jJWXRxuVqJ0,Easy
139,Uplifting Soul Classics,6b6IMqP565TbtFFZg9iFf3,"I Can't Help Myself (Sugar Pie, Honey Bunch)"
