"","playlist_id","playlist_name","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence","track.id","track.name"
"1","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.689,0.632,0.0534,0.0483,0.363,0.112,0.0869,"7Azu6woSBIL0Gwj3Y79bn5","Maybe I'm Wrong"
"2","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.741,0.948,0.0439,0.00398,0.827,0.103,0.177,"5tzcReCKuj6qYbQQVS0ehG","Cryptic Speech - Original Mix"
"3","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.764,0.954,0.0588,0.0344,0.845,0.102,0.317,"2ULBxi4DNecLbc9u9qUuFc","The Game"
"4","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.685,0.883,0.0365,0.000275,0.841,0.44,0.185,"2ZuiSlPG1f0zkP5lFPxzQL","Knaldrang"
"5","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.745,0.832,0.0728,0.00243,0.901,0.11,0.0806,"5k5TtPbBNyTy5F7o0TqKVP","Hyper World"
"6","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.748,0.909,0.0505,0.0576,0.89,0.0945,0.0617,"6X6Ow0iioCrYQSK1QDHQbC","The Age Of Love - Charlotte de Witte & Enrico Sangiuliano Remix"
"7","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.569,0.983,0.0816,0.000204,0.907,0.0547,0.356,"3r3PoJF2L57UyfkzmBydvP","Alpha Centauri"
"8","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.585,0.879,0.0482,0.000677,0.824,0.0613,0.0454,"3zOj4iZqK4qU1OfcCGGk8i","Escape"
"9","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.657,0.933,0.0602,0.000252,0.822,0.11,0.094,"3DP5jn2plhKVa6Xgwpux1S","Dark Places"
"10","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.797,0.846,0.0839,0.000125,0.952,0.119,0.0325,"7Lp0NobaOnTfqcHPjVXzA6","Latex"
"11","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.787,0.706,0.0606,8.39e-05,0.91,0.111,0.0271,"7ghv2cwEJn57ctlw3kiUo2","Earthrise"
"12","37i9dQZF1DX6J5NfMJS675","Techno Bunker",0.732,0.933,0.116,0.182,0.877,0.152,0.303,"0VnV4QbuGplPbXsFBJpX8y","Saw of Olympus"
